Компания,Сайт,Имя,Email,Должность,Ниша,Персонализация,Тип_контакта,MX_домена,MX_ok,РФ_домен,Источник_персонализации,QA_флаги
1С:Сервистренд,https://www.servicetrend.ru,Отдел продаж,sale@servicetrend.ru,Sales,1С,Сайт компании на момент сбора недоступен — персонализацию нужно добрать вручную (LinkedIn / новости / 2ГИС).,role-based (публичный корпоративный ящик),MX found,True,True,unavailable,сайт недоступен
A2IS,https://a2is.ru,Отдел продаж,info@a2is.ru,Sales,IT-интеграция,"A2IS: Мы помогаем людям выбрать лучший сервис для бизнеса. Читайте отзывы, обзоры, рейтинги ТОП-программ. Эксперты помогут в выборе лучшего сервиса для вашего дела.",role-based (публичный корпоративный ящик),MX found,True,True,website,
BPMSoft,https://www.bpmsoft.ru,Отдел продаж,info@bpmsoft.ru,Sales,BPM,"Российская low-code платформа BPMSoft для автоматизации бизнес-процессов. Единая экосистема для управления продажами, маркетингом и сервисом.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Bopup,https://www.bopup.ru,Отдел продаж,sales@bopup.ru,Sales,Корп. мессенджер,Bopup: Российские программные решения для организации эффективной системы безопасного обмена мгновенными сообщениями и общения для бизнеса. Корпоративный сервер для передачи сообщений и клиентское программное обеспечение для использования в локальных сетях (LAN/WAN) и в сетях…,role-based (публичный корпоративный ящик),MX found,True,True,website,
Callibri,https://callibri.ru,Отдел продаж,sales@callibri.ru,Sales,Коллтрекинг,"Инструменты Callibri приводят новых клиентов, повышают конверсию сайта и экономят бюджет. Автоматизируйте работу с лидами на всех этапах воронки с платформой лид-менеджмента для маркетологов.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Calltouch,https://www.calltouch.ru,Отдел продаж,sales@calltouch.ru,Sales,Аналитика,"Calltouch: Привлекайте, конвертируйте и анализируйте ваших клиентов. Инструменты Calltouch могут закрыть все потребности маркетинга на пути клиента.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Carrot quest,https://www.carrotquest.ru,Отдел продаж,sales@carrotquest.ru,Sales,MarTech,"Carrot quest: Автоматизируйте лидогенерацию, прогрев и поддержку клиентов с Carrot quest. Помогаем бизнесу получать +25% к выручке без увеличения бюджета",role-based (публичный корпоративный ящик),MX found,True,True,website,
Clientbase,https://clientbase.ru,Отдел продаж,info@clientbase.ru,Sales,CRM,"Clientbase: Платформа КБ — современная и удобная CRM/ERP система на русском языке. Купить простую ЦРМ онлайн по выгодной цене. Российские CRM программы: расчет стоимости, платформа для бизнеса.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Cloud.ru,https://cloud.ru,Отдел продаж,sales@cloud.ru,Sales,Облако,"Cloud.ru — облачные сервисы и ИИ-технологии для бизнеса. Мы делаем доступ к облакам и ИИ простым и удобным. Более 130 IaaS- и PaaS-сервисов, дата-центры уровня Tier III и доступность по SLA 99,982%. Соответствие требованиям 152-ФЗ и 187-ФЗ.",role-based (публичный корпоративный ящик),MX found,True,True,website,
CoMagic,https://www.comagic.ru,Отдел продаж,sales@comagic.ru,Sales,Коллтрекинг,CoMagic: Единая система управления коммуникациями в маркетинге и продажах. Аналитика и контроль всех видов коммуникаций компании с клиентом. Увеличение эффективности омниканального маркетинга .,role-based (публичный корпоративный ящик),MX found,True,True,website,
Compo,https://compob2b.ru,Отдел продаж,info@compo.ru,Sales,B2B e-com,"Compo: Внедрение платформы значительно упрощает и автоматизирует торговые процессы: закупку, продажу, работу с товаров, складами и остатками. Для производителей, дистрибьюторов, интернет-магазинов и многих других компаний, заинтересованных в автоматизации.",role-based (публичный корпоративный ящик),MX found,True,True,website,домен email ≠ сайт
Directum,https://www.directum.ru,Отдел продаж,info@directum.ru,Sales,СЭД,"Экосистема Directum включает продукты для управления стратегией, кадровыми процессами, проектами, сервисами и документами. Работа с десятками тысяч пользователей, ИИ, no/low-code и импортонезависимость.",role-based (публичный корпоративный ящик),MX found,True,True,website,
ELMA,https://www.elma-bpm.ru,Отдел продаж,info@elma-bpm.ru,Sales,BPM,"ELMA365 — Low-code платформа для автоматизации бизнеса и бизнес-процессов. Экосистема включает в себя BPM, CSP, CRM, КЭДО и Service. Не требует загрузки, проста в настройке. Попробовать бесплатно.",role-based (публичный корпоративный ящик),MX found,True,True,website,
FirstVDS,https://firstvds.ru,Отдел продаж,sales@firstvds.ru,Sales,VPS,"FirstVDS: VPS и VDS хостинг для сайта в России, Европе и Казахстане дёшево. Аренда, покупка и заказ виртуальных серверов VPS или VDS, регистрация доменов и SSL-сертификатов",role-based (публичный корпоративный ящик),MX found,True,True,website,
Getexperts,https://getexperts.ru,Отдел продаж,hello@getexperts.ru,Sales,IT-рекрутинг,"Getexperts: Подбор профессионалов, executive search, мэппинг, оценка персонала, ИИ-решения. 18 лет в России. 400 000+ кандидатов в базе. 1000+ российских и международных клиентов. 90% принятых офферов.",role-based (публичный корпоративный ящик),MX found,True,True,website,
HNC,https://hnc.su,Отдел продаж,sales@hnc.su,Sales,АСУТП / ЧПУ,"HNC: Решения АСУТП: ПЛК, HMI, Сервопривода, Преобразователи частоты, датчики, редукторы, ЧПУ, осевые двигатели и шпиндели",role-based (публичный корпоративный ящик),MX found,True,True,website,
Huntflow,https://huntflow.ru,Коммерческий отдел,office@huntflow.ru,Sales,HRtech,"Huntflow: Хантфлоу — система автоматизации рекрутмента, которая помогает закрывать вакансии в срок. C Хантфлоу подбор персонала становится быстрым и удобным.",role-based (публичный корпоративный ящик),MX found,True,True,website,
IVA Technologies,https://iva.ru,Отдел продаж,sales@iva.ru,Sales,ВКС,"IVA Technologies: Включает в себя платформу видеоконференцсвязи IVA MCU, корпоративный мессенджер, IP-телефонию, видеотерминалы и другие продукты",role-based (публичный корпоративный ящик),MX found,True,True,website,
InSales,https://www.insales.ru,Отдел продаж,sales@insales.ru,Sales,eCom,"inSales — единый инструмент для всех каналов интернет-продаж: создайте интернет-магазин, продавайте через маркетплейсы, соцсети и мессенджеры.",role-based (публичный корпоративный ящик),MX found,True,True,website,
InfoWatch,https://www.infowatch.ru,Отдел продаж,info@infowatch.ru,Sales,Кибербезопасность,InfoWatch: Информационная безопасность от эксперта российского рынка. Первая российская DLP-система с искусственным интеллектом для автоматизации работы служб ИБ. Инфовотч. Информационная безопасность (ИБ) – защита информации. Защита конфиденциальной информации. Обеспечение…,role-based (публичный корпоративный ящик),MX found,True,True,website,
Ingate,https://www.ingate.ru,Отдел продаж,info@ingate.ru,Sales,Digital-агентство,"В группу компаний Ingate Group входят маркетинговые агентства и SaaS-сервисы, уже использующие AI в своих процессах и продуктах. Продвижение и раскрутка сайтов, социальных сетей и других источников трафика и продаж.",role-based (публичный корпоративный ящик),MX found,True,True,website,
